,model,question,solution,answer,accuracy,solvability,appropriateness,mac
427,llama,"Captain America has 1000 shields. 500 of the shields are for battle, 200 of the shields are for training, and the rest are for display. How many shields are for display?","def solution():
    #Captain America has 1000 shields
    shields = 1000
    #500 of the shields are for battle
    battle_shields = 500
    #200 of the shields are for training
    training_shields = 200
    #The rest are for display. The answer is
    display_shields = shields - battle_shields - training_shields
    return display_shields",300,1.0,1,1.0,1
428,llema,"A basketball player makes an average of 23 free throws a game over the course of a season. She plays 11,000 games in her career. How many times does the player make a free throw over her career?
Answer: 253,000","def solution():
    #The average number of free throws a player makes in a season
    free_throws_per_game = 23
    #The number of games in a season
    games_per_season = 11000
    #Number of seasons
    numSeasons = 25
    #Number of games in a career
    games_in_career = numSeasons * games_per_season
    #The answer is
    freethrows_in_career = free_throws_per_game * games_in_career
    return freethrows_in_career",6325000,0.0,1,0.0,0
429,mammoth,Taylor Swift has 10000 dollars. She spent 4000 dollars on her cats and 2000 dollars on her guitars. How much money is left?,"def solution():
    total_money = 10000
    spent_on_cats = 4000
    spent_on_guitars = 2000
    remaining_money = total_money - spent_on_cats - spent_on_guitars
    return remaining_money
print(solution())",4000,1.0,1,1.0,1
430,mammoth,"There are 8 gyms in the Kanto region. Each gym has a leader that can be battled once per day. If each leader gives out $100 after being defeated, how much money can be earned by defeating all the gym leaders?","def solution():
    # number of gyms
    gyms = 8
    # money earned per gym
    money_per_gym = 100
    # total money earned
    total_money = gyms * money_per_gym
    return total_money",800,1.0,1,1.0,1
431,mammoth,"A ice cream shop has 1000 gallons of ice cream. They have 250 gallons of vanilla, 250 gallons of chocolate, and the rest is strawberry. How many gallons of strawberry ice cream are there?","def solution():
    #Total ice cream
    total_ice_cream = 1000
    #Ice cream from vanilla and chocolate
    vanilla_chocolate = 250 + 250
    #Strawberry ice cream is
    strawberry = total_ice_cream - vanilla_chocolate
    return strawberry",500,1.0,1,1.0,1
432,llama,Taylor Swift has 1000 fans. 100 of them are from the US. 200 of them are from Europe. 300 of them are from Asia. 400 of them are from South America. How many fans does she have from Africa?,"def solution():
    #Taylor Swift has 1000 fans
    total_fans = 1000
    #100 of them are from the US
    us_fans = 100
    #200 of them are from Europe
    europe_fans = 200
    #300 of them are from Asia
    asia_fans = 300
    #400 of them are from South America
    south_america_fans = 400
    #The answer is
    result = total_fans - us_fans - europe_fans - asia_fans - south_america_fans
    return result",0,,0,,0
433,mammoth,"If a candy weighs 3 grams, how many candies can you get from 1 kilogram of candy?","def solution():
    #1 kilogram is 1000 grams
    total_grams = 1000
    #Each candy weighs 3 grams
    candy_weight = 3
    #The number of candies is the total weight divided by the weight of each candy
    num_candies = total_grams / candy_weight
    return num_candies",333.3333333333333,1.0,1,1.0,1
434,llema,The Rainbow Unicorn eats 45 carrots every day. She feeds some carrots to all her little unicorns. Each unicorn eats 7 carrots. How many unicorns are there?,"def solution():
    #The Rainbow Unicorn eats 45 carrots per day
    carrots_per_day = 45
    #Each unicorn eats 7 carrots
    carrots_per_unicorn = 7
    #The Rainbow Unicorn feeds all her little unicorns
    total_unicorns = carrots_per_day / carrots_per_unicorn
    #The answer is
    result = total_unicorns
    return result",6.428571428571429,,0,,0
435,mammoth,"In Fortnite, the player has 5 health points. When the player is hit by an enemy, they lose 2 health points. How many health points does the player have left?","def solution():
    # initial health points
    health_points = 5
    # health points lost when hit by an enemy
    lost_health_points = 2
    # calculate remaining health points
    remaining_health_points = health_points - lost_health_points
    return remaining_health_points
print(solution())",3,,0,,0
436,llama,"Serena Williams is the best tennis player in the world. She has 39 Grand Slam titles. In 2016, she won 2 Grand Slam titles. How many more Grand Slam titles does she need to win to reach 50?","def solution():
    #Serena Williams has 39 Grand Slam titles
    grand_slam_titles = 39
    #She won 2 Grand Slam titles in 2016
    grand_slam_titles_2016 = 2
    #The answer is
    result = grand_slam_titles + grand_slam_titles_2016
    return result",41,,0,,0
437,mammoth,"There are 300 dogs in a shelter. 
20% of them are pitbulls. 
10% of the remaining dogs are chihuahuas. 
How many dogs are left?","def solution():
    #Total number of dogs
    total_dogs = 300
    #Number of pitbulls
    pitbulls = 0.20 * total_dogs
    #Remaining dogs after removing pitbulls
    remaining_dogs = total_dogs - pitbulls
    #Number of chihuahuas
    chihuahuas = 0.10 * remaining_dogs
    #Remaining dogs after removing chihuahuas
    remaining_dogs_final = remaining_dogs - chihuahuas
    return remaining_dogs_final
print(solution())",216.0,,0,,0
438,llema,"A unicorn has a horn coming out of his head. He was 14 feet tall, and is now 21 feet tall. How tall was the unicorn when he was born?","def solution():
    #The unicorn was born at ft14
    unicorn_tall_at_birth = 14
    #The unicorn is currently 21 feet tall
    unicorn_tall_current = 21
    #The answer is
    result = unicorn_tall_current - unicorn_tall_at_birth
    return result",7,,0,,0
439,llema,"A train has 32 cars. 28 of the cars are regular freight cars. A passenger train pulls into the station and loads 2 freight cars. It then boards 5 passengers and leaves without any freight cars, only one car behind the locomotive. How many freight cars does the train have now?","def solution():
    #A train has 32 cars
    train_cars = 32
    #28 of the cars are regular freight cars
    freight_cars = 28
    #A passenger train pulls into the station and loads 2 freight cars
    freight_cars = freight_cars + 2
    #Boards 5 passengers
    pass_board = 5
    #Leaves without any freight cars and one car
    freight_cars = freight_cars - 5 - 1
    return result",5,0.0,1,0.0,0
440,llama,"A freezer has 100 gallons of ice cream. 40 of the gallons are vanilla, 30 of the gallons are chocolate, and the rest are strawberry. How many gallons of strawberry ice cream are in the freezer?","def solution():
    #A freezer has 100 gallons of ice cream
    gallons_total = 100
    #40 of the gallons are vanilla
    gallons_vanilla = 40
    #30 of the gallons are chocolate
    gallons_chocolate = 30
    #The rest are strawberry
    gallons_strawberry = gallons_total - gallons_vanilla - gallons_chocolate
    return gallons_strawberry",30,1.0,1,1.0,1
442,llema,Superman has a vision cone. His cone is shaped like a right rectangle. He can see through a distance of 500 miles. How many feet can he see? How many miles can he fly?,"def solution():
    #5280 feet in 1 mile
    feet_in_mile = 5280
    #cone is shaped like a right rectangle
    vision_cone = 500
    #Superman can see through a distance of 500 miles
    miles = 500
    #The answer is
    result_miles = vision_cone
    result_feet = result_miles * feet_in_mile
    return [result_feet, result_miles]","[2640000, 500]",,0,,0
443,llama,A field hockey team has 12 players. 4 players are injured. How many players are not injured?,"def solution():
    #The team started with 12 players
    players_initial = 12
    #4 players are injured
    players_injured = 4
    #The answer is
    result = players_initial - players_injured
    return result",8,1.0,1,1.0,1
444,mammoth,"Ash caught 35 Pokemon in Pallet Town, 50 in Viridian City, and 25 in Pewter City. How many Pokemon did he catch in total?","def solution():
    #Ash caught 35 Pokemon in Pallet Town
    pokemon_1 = 35
    #He caught 50 in Viridian City
    pokemon_2 = 50
    #And 25 in Pewter City
    pokemon_3 = 25
    #The answer is
    result = pokemon_1 + pokemon_2 + pokemon_3
    return result
print(solution())",110,1.0,1,1.0,1
445,llema,"Kai has 64 lacrosse stickers. 9 of them are red, 
11 of them are yellow, 12 of them are green, and the rest are purple. How many purple lacrosse stickers does Kai have?","def solution():
    #Total laxrose stickers
    total_stickers = 64
    #Red
    red_stickers = 9
    #Yellow
    yellow_stickers = 11
    #Green
    green_stickers = 12
    #Purple
    purple_stickers = total_stickers - red_stickers - yellow_stickers - green_stickers
    return purple_stickers",32,1.0,1,1.0,1
446,llema,Patrick Mahomes completed 38 of 50 passes and Ryan Fitzpatrick completed 31 of 50 passes. Who completed more passing attempts?,"def solution():
    #Patrick Mahomes completed 38 of 50 passes
    mahomes_completions = 38
    #Ryan Fitzpatrick completed 31 of 50 passes
    ryan_completions = 31
    #Who completed more passing attempts?
    result = mahomes_completions - ryan_completions
    return result",7,0.0,1,0.0,0
447,llama,Steph Curry made 302 three pointers last season. He made 11 three pointers in the first game of the season. How many three pointers will he make this season if he keeps making 11 three pointers per game?,"def solution():
    #Steph Curry made 302 three pointers last season
    three_pointers_last_season = 302
    #He made 11 three pointers in the first game of the season
    three_pointers_in_first_game = 11
    #He made 11 three pointers per game
    three_pointers_per_game = 11
    #There are 82 games in a season
    games_in_a_season = 82
    #The answer is
    result = three_pointers_per_game * games_in_a_season
    return result",902,,0,,0
449,mammoth,"On Monday, you ate 21 bowls of ice cream. On Tuesday, you ate 12 bowls. On Wednesday, you ate 10 bowls. On Thursday, you ate 14 bowls. How many bowls of ice cream did you eat in total?","def solution():
    #You ate 21 bowls of ice cream on Monday
    ice_cream_monday = 21
    #12 on Tuesday
    ice_cream_tuesday = 12
    #10 on Wednesday
    ice_cream_wednesday = 10
    #and 14 on Thursday
    ice_cream_thursday = 14
    #The answer is
    result = ice_cream_monday + ice_cream_tuesday + ice_cream_wednesday + ice_cream_thursday
    return result",57,1.0,1,0.0,0
450,mammoth,Wonder Woman can fly at a speed of 100 miles per minute. She needs to fly 3200 miles to reach her destination. How many minutes will it take her to get there?,"def solution():
    #Wonder Woman's speed
    speed = 100 #miles per minute
    #Distance she needs to cover
    distance = 3200 #miles
    #Time = Distance/Speed
    time = distance / speed
    return time
print(solution())",32.0,1.0,1,1.0,1
