,question,solution,answer,accuracy,explanation
166,Super Mario has 200 gold coins. He has 100 gold coins from mushrooms. He has 50 gold coins from stars. He has 20 gold coins from flowers. How many of his gold coins are from other sources?,"def solution():
    # Super Mario has 200 gold coins
    gold_coins_total = 200
    # He has 100 gold coins from mushrooms
    gold_coins_mushrooms = 100
    # He has 50 gold coins from stars
    gold_coins_stars = 50
    # He has 20 gold coins from flowers
    gold_coins_flowers = 20
    # The answer is
    result = gold_coins_total - gold_coins_mushrooms - gold_coins_stars - gold_coins_flowers
    return result",30,1.0,"The solution correctly subtracts the number of gold coins from mushrooms, stars, and flowers from the total gold coins to get the correct answer."
167,"Wonder Woman has 100 lassos. She uses 18 lassos on Monday, 22 lassos on Tuesday, and 33 lassos on Wednesday. How many lassos does she have left?","def solution():
    #Wonder Woman started with 100 lassos
    lassos_initial = 100
    #She used 18 on Monday
    lassos_monday = 18
    #She used 22 on Tuesday
    lassos_tuesday = 22
    #She used 33 on Wednesday
    lassos_wednesday = 33
    #The answer is
    result = lassos_initial - lassos_monday - lassos_tuesday - lassos_wednesday
    return result",27,1.0,"The solution correctly subtracts the number of lassos used each day (Monday, Tuesday, Wednesday) from the initial number of lassos to determine the number of lassos Wonder Woman has left, which correctly results in 27 lassos."
168,"In Minecraft, a villager needs 20 wheat for a food item and 10 iron ingots for a tool item. There are 100 wheat and 50 iron ingots. How many villagers can be fed and given tools?","def solution():
    #100 wheat and 50 iron ingots are available
    wheat_total = 100
    iron_ingots_total = 50
    #20 wheat are needed for a food item
    wheat_per_food = 20
    #10 iron ingots are needed for a tool item
    iron_ingots_per_item = 10
    #The solution is
    foods_max = wheat_total / wheat_per_food
    tools_max = iron_ingots_total / iron_ingots_per_item
    result = min(foods_max, tools_max)
    return result",5.0,1.0,"The solution correctly calculates the maximum number of food items that can be made with the available wheat by dividing the total wheat by the wheat needed per food item. It also calculates the maximum number of tool items that can be made with the available iron ingots by dividing the iron ingots total by the iron ingots needed per tool item. Since each villager needs both a food item and a tool item, the number of villagers that can be fully provided for is the minimum of these two values, which is correctly found to be 5."
169,Naruto has 1000 gold coins. He uses 200 of them to buy a new outfit. He then uses 1/5 of the remaining gold coins to buy food. How many gold coins does he have left?,"def solution():
    #Naruto started with 1000 gold coins
    gold_coins_initial = 1000
    #He used 200 of them to buy a new outfit
    gold_coins_outfit = 200
    #He used 1/5 of the remaining gold coins to buy food
    gold_coins_food = (gold_coins_initial - gold_coins_outfit) / 5
    #The answer is
    result = gold_coins_initial - gold_coins_outfit - gold_coins_food
    return result",640.0,1.0,"The solution is accurate as it correctly subtracts the gold coins used to buy the outfit, then correctly calculates 1/5 of the remaining gold coins to spend on food, and subtracts this from the remaining amount to find the correct number of gold coins Naruto has left."
170,A vanilla ice cream cone is $3.5. A hot fudge ice cream cone is $3.8. How much does the hot fudge ice cream cone cost?,"def solution():
    #A vanilla ice cream cone is $3.5
    vanilla = 3.5
    #A hot fudge ice cream cone is $3.8
    hot_fudge = 3.8
    #The answer is
    result = hot_fudge
    return result
",3.8,1.0,"The solution directly returns the cost of the hot fudge ice cream cone as provided in the question without the need for any calculation, which matches the expected answer."
171,"Thor can fly 1200 miles per hour. He can also run 500 miles per hour. If he flies for 2 hours and runs for 3 hours, how many miles has he covered?","def solution():
    #Thor can fly 1200 miles per hour
    thor_flight_speed = 1200
    #He can run 500 miles per hour
    thor_run_speed = 500
    #He flies for 2 hours
    flight_hours = 2
    #He runs for 3 hours
    run_hours = 3
    #The answer is
    result = (thor_flight_speed * flight_hours) + (thor_run_speed * run_hours)
    return result",3900,1.0,"The solution accurately calculates the distance Thor covers by flying and running by multiplying his flight speed by the number of flight hours, and his running speed by the number of run hours, then adding the two distances together."
172,"LeBron James has 4 NBA Championships. 2 of them are with the Miami Heat, and the rest are with the Cleveland Cavaliers. How many championships does he have with the Cleveland Cavaliers?","def solution():
    #LeBron James has 4 NBA Championships
    nba_championships = 4
    #2 of them are with the Miami Heat
    miami_heat_championships = 2
    #The rest are with the Cleveland Cavaliers
    cleveland_cavaliers_championships = nba_championships - miami_heat_championships
    #The answer is
    result = cleveland_cavaliers_championships
    return result",2,1.0,The solution for this question correctly calculates the number of NBA Championships LeBron James has with the Cleveland Cavaliers by subtracting the number he won with the Miami Heat from his total championships.
173,,,,1.0,"The solution correctly determines LeBron James's total score by adding together the points scored in each of the four quarters, which gives the correct total score for the game."
174,Black Panther needs to get to the other side of the city to save the day. The quickest way is to take a cab. The trip will cost him 1000 dollars. He has 2000 dollars in his wallet. How much money will he have left after the trip?,"def solution():
    #Black Panther has 2000 dollars
    dollars_initial = 2000
    #The trip will cost him 1000 dollars
    dollars_spent_trip = 1000
    #The answer is
    result = dollars_initial - dollars_spent_trip
    return result",1000,1.0,"The solution correctly identifies that Black Panther has 2000 dollars initially and that the cab trip will cost 1000 dollars. The solution then correctly subtracts the cost of the trip from the initial amount of money to result in 1000 dollars left over, which matches the answer provided."
175,"50000 players are playing Fortnite. 10000 players are playing with a controller, 15000 players are playing with a keyboard and mouse, and the rest are playing on a mobile device. How many players are playing on a mobile device?","def solution():
    #Total players
    total_players = 50000
    #Players with a controller
    controller_players = 10000
    #Players with a keyboard and mouse
    keyboard_mouse_players = 15000
    #Players on a mobile device
    mobile_device_players = total_players - controller_players - keyboard_mouse_players
    return mobile_device_players",25000,1.0,The solution correctly identifies the total number of players and subtracts the number of players using a controller and a keyboard and mouse to accurately determine the number of players on a mobile device.
176,"There are 50000 candy canes in a pile. 20000 are red, 15000 are green, and the rest are white. How many candy canes are white?","def solution():
    #Total candy canes
    total_candy_canes = 50000
    #Red candy canes
    red_candy_canes = 20000
    #Green candy canes
    green_candy_canes = 15000
    #White candy canes
    white_candy_canes = total_candy_canes - red_candy_canes - green_candy_canes
    return white_candy_canes",15000,1.0,The solution arrives at the correct answer by subtracting the number of red and green candy canes from the total number of candy canes.
177,Hello Kitty makes 18 bracelets in 4 hours. How many bracelets per hour does she make?,"def solution():
    #This is an unknown variable
    bracelets = 18
    #Braces in 4 hours
    hours = 4
    #Bracelets per hour in 4 hours
    bracelets_per_hour = bracelets / hours
    #The answer is
    result = bracelets_per_hour
    return result",4.5,1.0,"The solution correctly calculates the rate of making bracelets by dividing the total number of bracelets made by the total number of hours spent making them, resulting in the correct bracelets per hour rate."
